Name,Gender,Age,City,Tenure,ProductsNo,HasCard,ActiveMember,Credit,AccountBal,Salary,Exited
Huang Jiangang,Female,40,Shanghai,7,2,0,1,697,22361.58,160311,0
Zhang Ming,Female,30,Tianjin,2,2,0,0,716,12517.14,253098,0
Ji Leyuan,Male,40,Beijing,4,2,0,1,518,37173.34,0,0
Mao Laoren,Male,42,Beijing,3,2,0,0,694,16996.31,192943,0
Hu Ying,Male,60,Beijing,5,1,1,0,774,14175.04,105647,1
Zheng Nengliang,Female,31,Beijing,6,1,1,1,610,26986.14,132575,0
Tan Anwen,Male,37,Beijing,2,2,0,0,549,9069.29,138426,0
Zen Meban,Male,18,Tianjin,2,1,1,1,835,22491.89,175733,0
Qu Bo,Male,24,Beijing,2,2,1,0,704,34947.43,182282,0
Zhang Jie,Female,55,Shanghai,2,1,0,1,638,20838.86,191669,1
Xue Baochai,Male,54,Beijing,7,1,0,0,678,36662.75,158565,1
Si Shiba,Male,51,Shanghai,0,1,1,1,599,33505.92,0,0
Yi Baoduo,Male,58,Beijing,2,1,1,1,739,13798.95,124943,0
Tian Tian,Female,32,Tianjin,8,1,1,1,644,31947.86,174081,1
Li Hong,Male,32,Beijing,5,2,1,0,590,11328.83,0,0
Di Shioing,Male,44,Shanghai,7,1,1,0,850,19931.31,109615,1
Jia Baoyu,Male,41,Beijing,1,1,1,0,590,4684.5,109576,0
Hu Ying,Female,40,Beijing,9,1,1,1,709,19879.65,161831,0
Ji Leyuan,Male,30,Beijing,9,1,0,0,850,7708.12,149488,0
Guo Hechai,Male,40,Tianjin,8,2,1,0,473,13972.02,187669,0
Ba Genru,Female,35,Beijing,2,2,0,1,578,5045.87,0,0
San Shaneshi,Male,50,Beijing,3,2,0,0,702,18154.84,0,0
Xue Qiao,Female,48,Tianjin,3,1,1,0,636,36359.47,148299,1
Sheng Shiwu,Female,28,Tianjin,6,1,0,1,538,1089.66,202169,0
Da Chishi,Male,28,Tianjin,5,2,0,1,735,21980.34,197359,0
Hao Ya,Female,38,Shanghai,3,2,1,0,684,8461.88,0,0
Jia Baoyu,Female,55,Tianjin,4,1,1,1,496,6029.24,154110,1
Mao Xi,Male,42,Tianjin,8,1,1,0,638,36992.68,178569,1
Wei Sansi,Male,68,Beijing,4,2,1,1,670,2184.83,0,0
Zhong Guoren,Male,27,Shanghai,2,1,1,1,551,16277.2,140064,1
Mao Xi,Female,57,Beijing,8,1,1,1,575,16152.03,169662,0
Wo Bai,Female,30,Shanghai,6,2,1,0,712,29143.01,0,0
Qiu Ba,Male,43,Beijing,2,1,1,0,632,4641.55,123017,0
Qi Hui,Male,53,Beijing,4,1,1,1,487,4628.65,245618,1
Dao Lema,Male,44,Shanghai,5,2,1,0,757,30350.87,173253,0
Er Shiduo,Female,55,Beijing,8,2,1,1,705,2751.94,0,0
Te Ke,Male,48,Tianjin,8,2,1,1,646,33586.52,207899,0
Tian Ci,Male,47,Beijing,0,1,1,1,590,1570.64,144992,0
Hu Bao,Male,39,Beijing,2,1,1,0,618,5081.96,112014,0
Kan Jian,Male,27,Beijing,1,1,1,1,483,401.89,95701,0
Li Zhi,Male,32,Tianjin,3,1,1,1,663,34867.15,133562,0
Dou Bai,Female,36,Tianjin,6,2,1,1,580,32497.74,178826,1
Er Shazi,Male,29,Tianjin,6,2,1,0,744,27066.54,152197,0
Di Shioing,Male,50,Beijing,2,1,1,1,582,22360.28,183199,0
Qiu Liwei,Female,21,Beijing,1,2,1,0,632,16062.84,0,0
Mao Laoren,Female,42,Tianjin,3,2,0,1,752,26795.27,80007,0
Er Shazi,Female,47,Tianjin,9,1,1,0,758,14014.24,117493,0
Wo Bai,Female,50,Tianjin,6,2,1,1,582,3889.86,118678,0
Zhao Lao,Male,39,Tianjin,7,2,1,0,538,5206.74,132908,0
La Ma,Female,29,Beijing,9,2,0,1,711,618.5,0,0
Shei Zhidao,Female,35,Beijing,9,2,0,0,690,9269.3,132772,0
Ba Qiu,Female,29,Tianjin,8,2,1,0,798,13427,98651,0
Jiu Zheyang,Male,43,Tianjin,9,1,1,0,645,2161.12,172349,1
Da Chishi,Male,54,Beijing,5,2,1,1,721,859.1,0,0
Xue Baochai,Male,41,Shanghai,7,1,0,1,509,21945.6,155821,0
Wu Zhihui,Female,42,Shanghai,3,1,1,0,684,5927.73,126949,0
Zhong Guoren,Female,33,Tianjin,0,1,0,0,786,6637.15,150460,1
Zai Jian,Male,39,Tianjin,9,4,0,1,640,1334.88,161877,1
De Daogao,Female,37,Beijing,6,1,0,1,589,3630.7,170352,0
Ke Lian,Female,32,Shanghai,10,1,1,1,665,4299.7,0,0
Shei Shiwo,Male,26,Tianjin,4,1,1,1,554,1671.57,149279,0
Wang Qiang,Female,37,Beijing,3,2,1,1,701,31408.84,0,0
Mao Laoren,Female,74,Beijing,0,1,1,1,653,30659.33,149170,0
De Daogao,Male,63,Beijing,9,1,0,0,576,15096.71,86906,1
Jiu Zheyang,Female,56,Beijing,2,2,1,1,835,7613.79,0,0
Zhao De,Female,35,Beijing,7,1,1,1,811,34.07,0,0
Zhang Jie,Female,40,Beijing,5,1,1,0,800,18860.44,120250,1
Dao Lema,Male,38,Beijing,0,1,1,0,757,15920.27,0,0
Jia Shuji,Female,32,Shanghai,4,2,1,1,619,33038.7,215750,1
Te Ke,Female,33,Beijing,3,2,1,0,633,36541.3,0,0
Dao Lema,Female,37,Beijing,7,2,1,0,648,37139.37,0,0
Zai Jian,Female,44,Beijing,3,1,1,0,716,5227.84,134720,1
Shei Zhidao,Male,25,Beijing,7,1,0,1,665,21463.97,111833,0
Xiao Jian,Female,37,Tianjin,2,1,0,1,666,17832.88,194917,0
Wo lIaobu,Male,40,Beijing,9,2,1,0,664,37240.4,0,0
Cuo De,Female,42,Tianjin,6,2,0,0,616,28731.7,145017,0
Wang Qiang,Male,23,Shanghai,5,2,1,0,543,22530.09,0,0
Xue Baochai,Male,27,Beijing,2,1,1,1,573,2223.96,157739,0
Ping Shide,Male,42,Beijing,2,1,0,0,562,16596.06,123293,0
Qiu Deba,Female,79,Beijing,7,1,1,1,617,30705.38,0,0
Zhong Guoren,Female,31,Beijing,2,2,0,1,727,30666.05,64196,0
Er Shiduo,Male,48,Shanghai,2,1,1,0,850,32394.89,0,1
Ye Xu,Female,42,Shanghai,3,2,1,0,661,6881.34,0,0
Tian Ci,Female,41,Beijing,2,1,1,0,701,9150.43,0,0
Qi Lai,Male,30,Shanghai,8,1,1,1,544,15425.78,178647,0
Kong Pi,Male,37,Beijing,2,2,1,0,791,14499.52,201461,0
Qi Fei,Female,27,Tianjin,2,1,1,1,748,25174.46,111895,0
Hu Bao,Male,33,Beijing,9,2,1,0,597,9440.69,0,0
Qiu Deba,Female,35,Beijing,9,2,1,1,707,13461.5,0,0
Jiu Zheyang,Female,28,Shanghai,3,1,1,0,799,8612.34,174972,0
Huang Jiangang,Male,38,Tianjin,3,1,1,1,850,26783.08,67528,0
Cha Buduo,Male,33,Tianjin,8,1,1,0,789,839.27,186477,0
Qiu Deba,Male,30,Shanghai,2,1,0,0,756,1444.48,178507,0
Zai Jian,Male,25,Shanghai,7,1,1,0,791,17144.6,0,0
Sheng Shiwu,Female,41,Tianjin,8,2,1,1,677,802.26,180467,0
Qi Moamao,Male,32,Beijing,9,2,0,0,662,12445.38,0,0
Zhao Lao,Male,32,Tianjin,9,1,1,0,763,5905.61,197637,0
Li Si,Male,34,Shanghai,10,1,1,1,820,11386.87,119566,0
Shei Zhidao,Male,24,Shanghai,10,1,1,1,704,24408.1,150195,0
La Ma,Male,31,Beijing,9,2,1,1,797,4732.1,0,0
Wo Shishei,Female,51,Beijing,3,1,1,1,605,12831.85,167512,1
Di Shioing,Female,24,Beijing,6,2,0,1,679,25959.51,141387,0
Ba Qiu,Male,45,Shanghai,4,1,0,1,645,33444.9,0,1
Ji Leyuan,Male,92,Beijing,3,1,0,1,753,37392.73,149461,0
Jia Shi,Female,33,Beijing,4,1,1,0,608,15163.36,0,1
Hu Bao,Male,34,Tianjin,3,1,1,1,526,8943.08,150954,0
Zhao De,Male,25,Beijing,1,2,1,1,617,22062.6,126181,0
Cuo De,Male,58,Shanghai,9,1,1,1,679,732.14,134473,0
Hu Bao,Female,41,Beijing,3,2,1,0,709,13704.17,184870,0
Qiu Liwei,Male,47,Tianjin,5,2,1,1,596,33329.12,172430,0
Jia Baoyu,Female,36,Beijing,2,1,1,1,630,9366.14,135810,0
Hu Ying,Female,49,Beijing,1,1,1,0,659,22227.47,0,1
Qi Moamao,Female,43,Beijing,5,1,1,1,682,36963.35,154798,0
Kong Pi,Male,36,Beijing,1,1,0,0,592,34362.93,155567,0
Ni Bai,Female,33,Beijing,4,2,0,1,642,11483.64,104067,0
Qiu Deba,Male,35,Shanghai,5,2,1,0,848,16197.06,147657,0
Qi Moamao,Female,36,Shanghai,2,2,1,1,721,20454.64,0,0
Yu Laoren,Female,33,Shanghai,4,1,1,1,721,19872.17,89219,0
Wu Zhihui,Male,57,Shanghai,6,2,1,1,563,7513.85,0,0
Tan Anwen,Male,39,Beijing,8,1,1,1,742,17779.3,172206,0
Zhen dema,Male,36,Beijing,7,2,1,0,651,2657.42,0,0
Dou Bai,Female,29,Beijing,10,2,1,1,583,21278.36,0,0
Ping Shide,Male,44,Beijing,3,2,1,1,531,6580.64,0,0
Lang Ping,Female,21,Tianjin,1,1,1,0,672,5504.76,43962,0
Tian Tian,Male,39,Shanghai,8,2,0,0,591,8105.59,0,0
Zen Meban,Female,47,Tianjin,6,1,1,0,537,3108.91,126891,1
Zhang Jie,Female,35,Shanghai,7,1,1,1,604,11052.97,181161,0
Zhong Guoren,Male,48,Beijing,10,1,1,0,519,26378.39,87433,0
De Daogao,Female,42,Tianjin,1,1,1,0,547,16483.26,175525,1
Hu Bao,Male,30,Tianjin,8,1,1,0,806,16257.81,206737,1
Mao Xi,Male,30,Beijing,5,2,0,1,764,20106.24,0,0
Shei Zhidao,Male,34,Shanghai,7,1,0,1,608,11451.29,106587,0
Shei Zhidao,Female,37,Beijing,9,1,1,0,633,13768.37,191993,0
Shen De,Female,38,Beijing,5,1,1,1,846,35873.07,0,0
Mao Xi,Male,43,Tianjin,2,1,1,1,686,18708.8,165922,0
Hao Ya,Female,47,Beijing,8,3,0,0,604,1779.75,76376,1
La Ma,Male,51,Beijing,10,3,1,0,525,32704.65,0,1
Lang Ping,Female,41,Beijing,4,1,1,1,651,20052.92,47499,0
Ren Gui,Male,40,Beijing,1,1,1,1,679,3230.82,0,0
Qiu Deba,Male,34,Tianjin,3,1,1,1,677,4991.66,155877,1
Zhao De,Female,37,Tianjin,2,2,0,1,631,4425.73,149816,0
Ke Lian,Male,66,Beijing,4,1,1,1,692,22598.11,196470,0
Xue Baochai,Male,42,Shanghai,6,1,1,0,367,32278.53,115138,1
Ye Xu,Male,47,Shanghai,8,1,0,1,808,14154.56,171211,0
Li Zhi,Male,36,Tianjin,4,2,1,0,829,17228.86,100609,0
Wei Sansi,Female,49,Beijing,7,1,1,0,705,12123.36,0,1
Zhao Lao,Female,29,Shanghai,6,2,1,1,636,19331.24,193819,0
Qiu Ba,Male,46,Shanghai,9,2,1,1,774,6648.99,0,0
Fei Xing,Female,29,Tianjin,7,1,0,1,584,26479.92,129401,0
We Maoqian,Male,55,Tianjin,8,2,1,1,698,27645.17,190723,0
Zhao De,Male,32,Beijing,6,1,1,1,766,19598.94,228429,0
Yi Baoduo,Male,28,Beijing,5,2,1,0,568,35466.36,178480,0
Mao Xi,Male,26,Shanghai,5,1,0,1,701,11318.36,102828,0
Xue Baochai,Male,69,Beijing,10,1,1,1,692,13546.74,190593,0
Xiao Jian,Male,46,Beijing,5,1,1,1,666,34004.6,152364,0
Er Shiduo,Female,40,Beijing,7,2,1,0,642,35174.63,0,0
Wang Qiang,Male,38,Beijing,4,1,1,0,482,6854.32,153721,0
Ren Gui,Female,36,Tianjin,2,2,0,0,670,7383.3,103648,0
De Daogao,Male,40,Beijing,5,2,0,0,588,19259.59,0,0
Wo Bai,Male,39,Beijing,3,1,0,0,793,16060.76,169516,0
Na De,Female,36,Shanghai,0,1,1,1,660,34693.97,103859,0
Er Shazi,Female,32,Shanghai,5,1,1,1,850,732.42,0,0
Zhao Wei,Male,30,Shanghai,3,2,1,0,590,15887.25,0,0
Zheng Nengliang,Male,30,Shanghai,8,2,0,0,591,9653.09,153575,0
Zhao De,Female,31,Beijing,2,2,1,0,649,2906.42,0,0
Qi Moamao,Male,54,Shanghai,0,1,0,1,732,2562.98,165127,0
Mao Laoren,Female,30,Tianjin,1,2,0,1,678,3087.18,171803,0
Zhuan Ji,Male,37,Beijing,2,2,1,1,521,16514.76,0,0
Sheng Shiwu,Male,34,Shanghai,1,2,0,1,581,15521.08,0,0
Wo lIaobu,Male,20,Shanghai,5,2,1,1,649,11149.05,0,0
Huang Zuihao,Male,36,Shanghai,7,1,1,1,591,23331.33,166317,0
Ji Leyuan,Female,60,Shanghai,10,1,1,0,762,6012.43,207773,1
Qiu Deba,Male,48,Shanghai,4,2,0,0,775,9592.43,219118,1
San Shaneshi,Female,31,Shanghai,5,2,0,1,695,2676.65,0,0
Ping Shide,Female,39,Tianjin,3,1,1,1,754,4618.74,197737,0
Qiu Liwei,Male,34,Beijing,1,1,1,1,756,17219.7,126854,0
Zhang De,Female,40,Shanghai,4,2,1,0,789,26271.94,0,0
Zhao Lao,Male,33,Tianjin,3,2,1,0,622,9283.7,119219,0
Hao Ya,Female,41,Shanghai,9,1,1,0,615,37571.69,134086,0
Si Shiba,Male,47,Shanghai,1,1,1,1,696,15409.4,131313,0
Qi Fei,Male,35,Shanghai,7,2,1,1,744,8228.79,0,0
Wo lIaobu,Female,24,Beijing,1,1,1,0,597,11552.59,126960,0
Zhi Fen,Female,32,Tianjin,5,2,1,1,473,13947.79,180321,0
Kong Pi,Male,55,Beijing,9,1,0,1,732,624.88,167989,1
Wu Shangui,Female,40,Tianjin,7,1,0,0,502,37529.31,144284,0
Guan Yu,Male,63,Beijing,8,1,1,1,660,8181.69,169545,0
Guan Yu,Male,33,Tianjin,3,1,1,0,564,14461.33,134491,0
Ke Lian,Male,46,Beijing,0,2,1,1,732,35248.71,0,0
Er Shazi,Female,39,Tianjin,2,2,1,0,683,20879.81,123076,0
Qi Fei,Male,35,Shanghai,3,2,1,1,687,33738.08,0,0
Zhen Shi,Male,29,Shanghai,2,2,1,0,730,2710.15,0,0
Dao Lema,Female,32,Shanghai,8,1,1,1,708,22966.63,230610,0
Jia Shuji,Female,27,Beijing,3,2,1,0,485,27045.86,0,0
Er Shiduo,Male,34,Beijing,8,1,1,0,542,37551.63,124373,0
La Ma,Female,38,Beijing,8,2,0,0,538,5396.96,109174,1
Xue Qiao,Male,42,Shanghai,6,2,1,0,610,30268.18,0,1
Ni Bai,Male,23,Beijing,2,2,1,0,772,3511.31,0,0
Tian Tian,Female,60,Beijing,2,2,1,1,678,8378.88,0,0
Di Shioing,Male,41,Beijing,6,2,1,1,683,35251.65,117707,0
Ba Qiu,Female,45,Beijing,7,2,1,1,703,13160.94,0,0
Zhuan Ji,Female,53,Beijing,10,1,0,1,487,17223.1,110148,0
San Shaneshi,Male,51,Beijing,2,1,1,1,586,17668.49,170421,0
Zhen dema,Female,54,Shanghai,7,1,1,0,648,32999.4,145436,1
Li Hong,Male,42,Beijing,9,2,1,1,591,25191.96,198831,0
Wo Shishei,Male,32,Shanghai,4,1,0,0,630,27978.28,100902,0
Zhen dema,Female,40,Beijing,7,1,1,0,550,10328.66,140657,0
Sheng Shiwu,Male,36,Tianjin,7,1,0,1,610,8141.69,142018,0
Shuai Jile,Male,29,Tianjin,3,2,1,1,505,11093.68,179016,0
Shen De,Female,31,Beijing,8,1,1,1,612,10349.87,145127,0
Guo Hechai,Male,50,Beijing,1,3,1,1,660,36682.43,0,1
Wu Zhihui,Female,25,Shanghai,10,2,1,0,525,13262.32,0,0
Ba Genru,Male,28,Beijing,2,1,0,0,726,18749.61,0,0
Ren Shi,Female,29,Beijing,10,1,1,1,716,34900.9,108174,0
Di Shioing,Male,43,Tianjin,1,1,0,1,514,38102.09,117534,1
Wo Bai,Female,40,Shanghai,7,1,1,1,652,23814.69,123580,0
Yi Baoduo,Male,41,Tianjin,1,1,1,0,660,4976.21,159778,1
Jiu Zheyang,Male,31,Beijing,4,1,1,1,742,3766.77,129444,0
Tian Tian,Male,31,Tianjin,1,1,0,0,791,18460.14,160196,0
Shei Zhidao,Male,42,Tianjin,1,2,1,0,623,19279.96,183679,0
Te kepa,Male,47,Shanghai,7,1,1,1,780,7260.63,105788,0
Xue Qiao,Male,34,Beijing,4,1,1,0,702,20936.22,123067,0
Ren Gui,Female,41,Shanghai,1,1,0,0,684,33940.08,165038,0
Qi Moamao,Male,50,Tianjin,1,1,0,1,551,16158.4,149322,1
Ke Lian,Male,38,Beijing,1,2,0,1,676,6815.44,0,0
Mao Laoren,Male,38,Shanghai,0,2,1,0,671,697.43,113990,0
Mao Laoren,Male,37,Beijing,1,1,0,0,572,21270.18,163644,0
Ni Bai,Female,37,Beijing,7,2,1,1,740,37145.48,0,0
Na De,Male,36,Beijing,2,2,1,1,596,2307.34,0,0
Wo Bai,Female,37,Beijing,3,1,0,1,490,4672.23,143253,0
Dao Lema,Male,36,Beijing,3,1,0,1,704,12774.47,140676,0
Shei Shiwo,Male,26,Shanghai,6,2,1,1,730,35527.47,0,0
Zhao Lao,Female,38,Shanghai,1,2,0,1,537,7884.12,0,0
Shuai Jile,Male,47,Shanghai,3,1,0,0,553,27859.3,143330,1
Fei Xing,Male,40,Beijing,2,1,0,1,637,17813.64,164160,0
Zhao Wei,Male,57,Beijing,6,2,1,1,698,13871.75,167680,1
Zhen Dema,Female,42,Beijing,2,2,1,0,792,17717.79,0,0
Wei Sansi,Female,41,Tianjin,8,1,1,0,692,11348.8,160763,1
Cha Buduo,Male,41,Tianjin,1,1,0,0,483,31194.64,145551,1
Ba Genru,Female,43,Beijing,7,2,1,0,840,17382.2,0,0
Zhang Jie,Male,31,Beijing,8,1,1,0,590,5021.3,138020,0
Hao Ya,Female,39,Beijing,2,2,0,0,418,1728.81,0,0
Hu Ying,Male,44,Tianjin,9,2,1,0,500,37526.12,197831,0
Lang Ping,Female,62,Tianjin,10,1,0,1,555,1614.62,141232,0
Zhao De,Male,35,Tianjin,6,2,1,1,437,30809.44,155968,0
Tan Anwen,Female,63,Beijing,1,2,1,0,799,7163.28,135686,1
Shen De,Female,32,Shanghai,7,1,1,0,568,11842.48,208362,0
Yi zhi,Female,49,Beijing,1,1,1,0,676,15170.61,0,1
Dao Lema,Male,33,Tianjin,2,1,1,1,592,7101.37,192582,0
Chen De,Female,36,Shanghai,2,2,1,1,654,28040.55,0,0
Wo Bai,Male,60,Tianjin,9,1,1,0,515,3522.79,139870,1
Li Hong,Male,37,Tianjin,8,2,1,1,543,22573.45,173300,0
Dou Bai,Male,35,Beijing,9,2,0,1,687,13983.52,0,0
Wu Baige,Male,40,Beijing,3,2,1,0,763,25675.16,0,0
Jia Shi,Male,34,Beijing,7,2,1,1,626,10831.02,139008,0
Jia Shuji,Male,39,Beijing,5,2,1,1,619,30295.33,0,0
Zhang San,Female,39,Tianjin,8,1,1,0,607,20023.23,129277,1
Zhao De,Female,34,Tianjin,5,1,1,1,395,3322.47,130394,1
Xiao Jian,Male,26,Beijing,1,1,0,1,631,23651.61,183448,0
Jia Shuji,Female,33,Beijing,2,2,0,0,646,37898.27,0,0
Hu Bao,Male,31,Tianjin,7,1,1,0,592,16458.82,153250,0
Guan Yu,Male,40,Tianjin,4,1,1,1,583,1077.55,131661,0
Kan Jian,Female,44,Beijing,8,1,0,0,669,25164.33,118594,1
Jia Baoyu,Male,33,Tianjin,9,2,1,1,588,12545.12,184729,0
La Ma,Male,31,Beijing,5,3,1,1,704,10415.77,162464,1
Li Zhi,Female,51,Beijing,3,1,1,1,839,13212.47,0,1
Si Shi,Male,37,Tianjin,3,2,0,0,658,13455.11,207545,0
Zhao De,Female,35,Beijing,8,1,0,1,716,3412.67,138754,0
Qi Lai,Male,34,Shanghai,9,2,0,1,683,4844.98,140970,0
Ren Shi,Male,35,Shanghai,8,1,1,1,535,25915.24,146358,0
Wang Qiang,Female,45,Beijing,1,2,1,0,697,8949.83,0,1
Hu Ying,Female,39,Tianjin,1,1,1,0,659,3948.88,128538,0
Er Shazi,Female,39,Shanghai,5,2,1,1,598,15889.76,0,0
Ba Genru,Female,27,Beijing,7,2,1,1,850,578.48,53700,0
Tian Ci,Female,45,Shanghai,9,2,1,0,643,29735.43,185533,0
San Shaneshi,Male,49,Shanghai,2,2,0,0,645,1916.47,0,0
Lin Daiyu,Male,33,Tianjin,2,1,1,0,740,26170.04,155625,0
Li Hong,Male,42,Beijing,6,2,1,1,778,20305.43,0,0
Qiu Ba,Male,40,Shanghai,8,1,1,0,683,14502.52,0,0
Zhen Shi,Male,45,Shanghai,0,2,0,1,550,13460.74,0,0
Huang Zuihao,Female,27,Beijing,6,1,0,0,700,1720.22,169695,0
Zen Meban,Male,38,Beijing,8,1,1,1,603,36607.46,73014,0
Zhang Jie,Male,31,Beijing,3,2,0,0,581,17024.97,0,0
Yi zhi,Female,55,Beijing,1,2,0,1,707,10403.34,0,0
Wei Sansi,Female,35,Beijing,4,1,1,0,577,20154.45,133031,0
Zhang De,Male,36,Beijing,3,1,1,1,680,12198.04,143018,0
Qi Hui,Female,46,Tianjin,7,1,1,0,655,22016.52,168688,1
Xue Baochai,Male,32,Beijing,8,2,1,0,741,27456.73,0,0
Ren Gui,Female,27,Beijing,9,2,0,1,684,26354.84,150737,0
Qi Hui,Male,31,Tianjin,6,2,0,0,733,34033.42,194083,0
Dou Bai,Male,34,Shanghai,6,2,1,0,588,16531.6,148993,0
Zhong Guoren,Male,58,Shanghai,5,1,0,1,591,26243.69,158016,0
Zhen dema,Male,39,Tianjin,1,2,1,1,725,35186.14,62584,0
Tan Anwen,Male,59,Beijing,2,1,1,1,633,19724.49,127916,0
Huang Jiangang,Male,48,Shanghai,7,2,1,1,784,34915.86,0,0
Wang Qiang,Male,33,Tianjin,5,2,1,0,724,23152.14,127385,0
Wo lIaobu,Female,32,Shanghai,10,1,1,0,721,26026.76,0,1
Ren Shi,Male,18,Shanghai,8,2,1,1,677,21961.54,165800,0
Huang Jiangang,Female,37,Tianjin,9,1,0,0,715,27360.7,129752,1
Zhen Shi,Male,47,Shanghai,1,2,1,1,656,37851.22,0,0
Jia Shuji,Female,48,Beijing,3,1,1,0,567,10585.55,0,0
Zhao Lao,Male,44,Tianjin,2,2,0,0,850,30243.08,138689,0
Ba Genru,Female,55,Beijing,8,1,1,1,665,17929.23,167716,0
Dao Lema,Male,39,Tianjin,2,1,0,1,552,28562.98,163475,0
Qiu Ba,Male,32,Beijing,6,1,1,0,742,5549.33,197397,0
Jia Baoyu,Female,39,Beijing,0,1,1,0,850,20246.03,128395,0
Tan Anwen,Female,22,Shanghai,7,1,1,0,547,22589.44,173783,0
Yu Laoren,Male,34,Tianjin,7,1,1,0,655,9794.7,145175,1
Wang Qiang,Male,28,Beijing,8,2,1,1,620,38223.57,0,0
Li Si,Female,36,Beijing,7,1,1,1,753,8521.57,158078,1
Zai Jian,Female,74,Shanghai,3,2,1,1,545,30846.41,0,0
Wu Baige,Male,34,Beijing,5,1,1,0,606,30969.67,0,0
Zen Meban,Male,38,Shanghai,2,2,0,0,526,11091.96,0,0
Er Shazi,Female,29,Beijing,6,2,1,1,716,18928.98,0,0
Dou Bai,Male,27,Tianjin,4,2,1,1,656,30752.44,145911,0
Ji Leyuan,Female,36,Shanghai,6,2,1,0,840,27029.49,0,0
Jia Shi,Male,27,Shanghai,3,3,1,1,714,24690.26,0,0
Zhang Jie,Female,44,Shanghai,5,3,1,1,647,33308.83,0,1
Zhen Shi,Female,31,Tianjin,7,2,1,1,614,8826.66,148337,0
Dou Bai,Male,42,Beijing,1,1,1,1,529,15731.66,193724,0
Tian Tian,Male,36,Beijing,7,1,1,0,777,20358,0,0
Jia Shi,Female,35,Beijing,6,1,0,1,647,23438.67,138583,0
Jia Baoyu,Male,27,Beijing,5,2,0,0,671,23115.3,0,0
Si Shiba,Male,45,Tianjin,7,1,1,0,482,13889.85,192315,1
Zhen Haowao,Female,33,Shanghai,3,1,1,0,652,37452.59,153544,0
Xue Qiao,Male,25,Tianjin,1,2,1,0,645,17795.99,193607,0
Qi Hui,Male,46,Beijing,6,2,1,0,794,37347.17,0,0
De Daogao,Male,36,Beijing,6,2,0,0,624,16182.72,0,0
Qi Hui,Male,33,Shanghai,3,2,1,1,850,26106.9,123586,0
Bao Qiao,Female,45,Beijing,4,2,1,0,444,30908.89,0,1
Cuo De,Male,31,Shanghai,5,2,1,1,667,3890.38,0,0
Guan Yu,Female,46,Shanghai,8,1,1,0,563,31194.16,130591,1
Li Hong,Male,27,Beijing,7,2,1,0,583,9806.02,0,0
Ping Shide,Male,29,Beijing,2,1,1,0,718,24156.16,0,0
We Maoqian,Female,38,Beijing,9,4,1,1,582,14643.01,167254,1
Wo lIaobu,Male,34,Beijing,3,2,1,0,726,37531.25,0,0
Xue Qiao,Female,24,Beijing,8,1,1,1,654,24870.95,178451,0
Zai Jian,Male,44,Beijing,9,2,1,0,550,5020.46,0,0
Xue Qiao,Female,37,Tianjin,7,2,1,0,634,36849.32,176208,0
Lang Ping,Female,21,Beijing,3,2,1,1,566,693.39,0,0
Kan Jian,Male,40,Beijing,1,3,0,1,455,24851.88,0,0
Yi Baoduo,Male,32,Tianjin,7,2,1,1,614,9773.81,122339,0
Zheng Nengliang,Male,44,Tianjin,3,2,1,1,540,2317.55,201859,0
Zen Meban,Male,34,Shanghai,8,1,0,0,850,13022.23,245052,0
Na De,Female,33,Beijing,9,2,1,0,679,33912.51,138410,0
Zhen Dema,Male,46,Beijing,9,2,1,0,589,32634.16,0,0
Jiu Zheyang,Male,36,Shanghai,0,1,1,0,688,33916.57,110420,1
La Ma,Male,50,Tianjin,2,1,1,0,751,14762.18,119173,1
Li Si,Male,34,Shanghai,9,2,1,1,828,15650.85,0,0
Si Shiba,Male,43,Beijing,6,2,1,0,639,35812,122521,0
Xue Baochai,Female,29,Beijing,7,2,1,1,776,22145.03,219150,0
San Shaneshi,Female,22,Beijing,8,1,0,1,519,32036.91,0,0
Hu Ying,Female,57,Tianjin,1,2,1,1,543,23070.23,130550,1
Ye Xu,Female,28,Shanghai,9,1,1,1,648,30189.5,125808,0
Zen Meban,Female,52,Beijing,6,1,1,1,586,12865.94,173308,0
La Ma,Male,33,Beijing,5,2,0,1,698,7601.33,166860,0
Tian Ci,Female,36,Beijing,4,2,1,0,662,26552.79,205298,1
Dou Bai,Female,56,Tianjin,9,2,1,1,586,10410.78,123962,0
Cha Buduo,Male,30,Beijing,1,1,1,1,705,34665.45,0,0
Tian Tian,Female,31,Beijing,5,2,1,0,529,5127.57,0,0
Qiu Liwei,Male,27,Shanghai,8,1,0,0,531,1381.05,163069,0
Hu Ying,Female,35,Shanghai,6,2,0,0,662,463.46,0,1
Guo Hechai,Female,27,Tianjin,6,1,0,1,606,21309.54,211942,0
Guan Yu,Male,28,Tianjin,10,1,1,0,605,6331.59,139840,0
Jia Shuji,Male,71,Shanghai,4,2,1,1,616,33192.99,0,0
Ke Lian,Female,33,Beijing,7,1,0,1,457,11474.79,157240,0
Huang Zuihao,Male,41,Beijing,4,1,1,1,647,19429.75,170893,1
Dou Bai,Female,39,Shanghai,3,3,1,0,591,26858.39,0,1
Si Shiba,Male,37,Beijing,3,1,1,0,789,23304.75,0,1
Cuo De,Female,29,Shanghai,2,2,1,0,590,23420.21,205325,0
Tian Ci,Female,54,Tianjin,1,1,1,1,794,36740.85,93358,0
